name,abstract,block_name,paper
Interface Caligráfica de Escrita no Ar,,Interação,interface caligrafica.pdf
Interaction with Large Displays in a Public Space Using the Kinect Sensor,,Interação,interaction with large.pdf
Inserção Dinâmica de Objectos Virtuais no Contexto de Fotografias Tiradas por Utilizadores,,Aplicações,insercao dinamica.pdf
Exploração Interactiva dos Hábitos de Audição de Música,,Aplicações,exploracao interactiva.pdf
"AUV Planning,An application for AUV mission planning",,Aplicações,AUV.pdf
Realidade Virtual Aplicada ao Tratamento de Ansiedade Social,,Aplicações,realidade virtual.pdf
Ray Tracing of Large Models on a Multi-Projection Display,,Síntese e Visualização,ray tracing.pdf
"COGNITO - Captura, Reconhecimento e Visualização de Actividades Manuais Complexas",,Síntese e Visualização,cognito.pdf
Visualização em Tempo Real de um Modo Esparso de Mistura Paramétrica para síntese da BTF,,Síntese e Visualização,visualizacao em tempo real.pdf
Ruby on Rails server,"Apresentação do servidor Ruby on Rails utilizado para desenvolver a aplicação.",Projecto Integrador,ror.pdf
Android Logic,"Apresentação da parte logica de android para desenvolver a aplicação.",Projecto Integrador,androidL.pdf
Android Graphics,"Apresentação da parte grafica de android para desenvolver a aplicação.",Projecto Integrador,androidG.pdf
